pitch_id,pitcher_id,pitched_at,target_x,target_y,actual_x,actual_y,zone_width,zone_height,pitch_type
P0001,KIM01,2026-07-28T19:30:00+09:00,-0.6,0.5,-0.52,0.41,2.0,2.0,FASTBALL
P0002,KIM01,2026-07-28T19:31:00+09:00,-0.6,0.5,-0.71,0.58,2.0,2.0,FASTBALL
P0003,KIM01,2026-07-28T19:32:00+09:00,-0.6,0.5,-0.43,0.63,2.0,2.0,FASTBALL
P0004,KIM01,2026-07-28T19:33:00+09:00,-0.6,0.5,-0.82,0.43,2.0,2.0,SLIDER
P0005,KIM01,2026-07-28T19:34:00+09:00,-0.6,0.5,-0.56,0.31,2.0,2.0,SLIDER
P0006,KIM01,2026-07-28T19:35:00+09:00,0.6,-0.5,0.54,-0.42,2.0,2.0,FASTBALL
P0007,KIM01,2026-07-28T19:36:00+09:00,0.6,-0.5,0.73,-0.61,2.0,2.0,FASTBALL
P0008,KIM01,2026-07-28T19:37:00+09:00,0.6,-0.5,0.91,-0.33,2.0,2.0,CHANGEUP
P0009,LEE02,2026-07-28T20:00:00+09:00,-0.6,0.5,-0.21,0.72,2.0,2.0,FASTBALL
P0010,LEE02,2026-07-28T20:01:00+09:00,-0.6,0.5,-0.93,0.14,2.0,2.0,FASTBALL
P0011,LEE02,2026-07-28T20:02:00+09:00,-0.6,0.5,-0.48,0.91,2.0,2.0,CURVEBALL
P0012,LEE02,2026-07-28T20:03:00+09:00,-0.6,0.5,-1.12,0.62,2.0,2.0,CURVEBALL
P0013,LEE02,2026-07-28T20:04:00+09:00,0.6,-0.5,0.24,-0.12,2.0,2.0,FASTBALL
P0014,LEE02,2026-07-28T20:05:00+09:00,0.6,-0.5,0.82,-0.74,2.0,2.0,FASTBALL
P0015,LEE02,2026-07-28T20:06:00+09:00,0.6,-0.5,1.08,-0.91,2.0,2.0,CHANGEUP
P0016,LEE02,2026-07-28T20:07:00+09:00,0.6,-0.5,0.31,-0.77,2.0,2.0,CHANGEUP
